id_pedido;produto;categoria;fornecedor;status;custo_unitario;quantidade;lead_time_dias;custo_frete
PED-1;Cabo de Cobre;Metalurgia;Indústrias Alfa;Atrasado;USD 176,42;480 unidades;16;R$ 599,21
PED-2;Resina Epoxi;Química;Global Shipping;Em trânsito;USD 190,9;437 unidades;20;R$ 690,44
PED-3;Sensor Prototipo;Eletrônicos;Global Shipping;Entregue;USD 452,6;19 unidades;17;R$ 726,68
PED-4;Motor de Passo;Mecânica;Nordeste Distribuidora;Entregue;USD 197,19;364 unidades;18;R$ 607,53
PED-5;Caixa Papelão;Embalagens;Sudeste Express;Em trânsito;USD 136,5;467 unidades;16;R$ 510,73
PED-6;Circuito Impresso;Eletrônicos;LogTech Brasil;Entregue;USD 389,09;120 unidades;4;R$ 395,23
PED-7;Resina Epoxi;Química;Norte Logística;Entregue;USD 154,66;399 unidades;14;R$ 525,33
PED-8;Cabo de Cobre;Metalurgia;Global Shipping;Em trânsito;USD 161,32;64 unidades;31;R$ 605,96
PED-9;Motor de Passo;Mecânica;Bahia Peças;Atrasado;USD 161,77;150 unidades;13;R$ 538,95
PED-10;Válvula Hidráulica;Mecânica;LogTech Brasil;Entregue;USD 134,19;32 unidades;4;R$ 416,88
PED-11;Resina Epoxi;Química;Global Shipping;Entregue;USD 137,32;189 unidades;18;R$ 626,03
PED-12;Válvula Hidráulica;Mecânica;Sul Metais;Atrasado;USD 127,94;78 unidades;13;R$ 409,83
PED-13;Motor de Passo;Mecânica;LogTech Brasil;Entregue;USD 133,32;253 unidades;4;R$ 401,91
PED-14;Caixa Papelão;Embalagens;Sul Metais;Atrasado;USD 160,7;90 unidades;14;R$ 511,73
PED-15;Circuito Impresso;Eletrônicos;Bahia Peças;Entregue;USD 412,87;97 unidades;16;R$ 594,5
PED-16;Válvula Hidráulica;Mecânica;LogTech Brasil;Entregue;USD 135,98;333 unidades;4;R$ 389,66
PED-17;Sensor Prototipo;Eletrônicos;Norte Logística;Entregue;USD 391,6;465 unidades;14;R$ 464,92
PED-18;Válvula Hidráulica;Mecânica;Nordeste Distribuidora;Entregue;USD 201,02;429 unidades;18;R$ 554,78
PED-19;Cabo de Cobre;Metalurgia;Global Shipping;Atrasado;USD 160,56;122 unidades;31;R$ 615,28
PED-20;Válvula Hidráulica;Mecânica;Sul Metais;Atrasado;USD 113,35;324 unidades;9;R$ 374,95
PED-21;Resina Epoxi;Química;Sudeste Express;Atrasado;USD 108,39;323 unidades;17;R$ 476,89
PED-22;Caixa Papelão;Embalagens;Sudeste Express;Em trânsito;USD 132,93;217 unidades;15;R$ 491,29
PED-23;Cabo de Cobre;Metalurgia;Norte Logística;Entregue;USD 171,71;224 unidades;11;R$ 461,84
PED-24;Caixa Papelão;Embalagens;LogTech Brasil;Entregue;USD 159,64;373 unidades;4;R$ 327,4
PED-25;Circuito Impresso;Eletrônicos;Global Shipping;Em trânsito;USD 433,91;291 unidades;29;R$ 576,95
PED-26;Motor de Passo;Mecânica;Global Shipping;Atrasado;USD 177,17;252 unidades;17;R$ 715,99
PED-27;Polímero Industrial;Química;Bahia Peças;Entregue;USD 159,09;494 unidades;14;R$ 543,58
PED-28;Motor de Passo;Mecânica;Sudeste Express;Em trânsito;USD 159,27;378 unidades;11;R$ 549,36
PED-29;Sensor Prototipo;Eletrônicos;Delta Matérias-Primas;Atrasado;USD 429,06;274 unidades;24;R$ 515,95
PED-30;Motor de Passo;Mecânica;Norte Logística;Atrasado;USD 157,24;57 unidades;10;R$ 581,77
PED-31;Chapa de Aço;Metalurgia;Nordeste Distribuidora;Entregue;USD 207,06;70 unidades;19;R$ 618,17
PED-32;Motor de Passo;Mecânica;Indústrias Alfa;Em trânsito;USD 145,3;43 unidades;12;R$ 466,36
PED-33;Circuito Impresso;Eletrônicos;Delta Matérias-Primas;Entregue;USD 459,49;423 unidades;17;R$ 576,28
PED-34;Motor de Passo;Mecânica;Amazonas Tech;Atrasado;USD 187,04;499 unidades;35;R$ 893,52
PED-35;Cabo de Cobre;Metalurgia;Amazonas Tech;Entregue;USD 274,79;347 unidades;48;R$ 917,2
PED-36;Circuito Impresso;Eletrônicos;Amazonas Tech;Em trânsito;USD 572,21;392 unidades;29;R$ 828,53
PED-37;Circuito Impresso;Eletrônicos;Sudeste Express;Entregue;USD 396,37;227 unidades;14;R$ 508,73
PED-38;Polímero Industrial;Química;Bahia Peças;Atrasado;USD 188,41;48 unidades;10;R$ 584,66
PED-39;Polímero Industrial;Química;Nordeste Distribuidora;Entregue;USD 158,52;347 unidades;20;R$ 544,72
PED-40;Sensor Prototipo;Eletrônicos;Global Shipping;Atrasado;USD 451,82;220 unidades;28;R$ 578,67
PED-41;Chapa de Aço;Metalurgia;Sul Metais;Em trânsito;USD 117,66;138 unidades;15;R$ 557,93
PED-42;Chapa de Aço;Metalurgia;Indústrias Alfa;Entregue;USD 157,35;328 unidades;18;R$ 520,61
PED-43;Polímero Industrial;Química;Indústrias Alfa;Em trânsito;USD 163,33;252 unidades;18;R$ 447,79
PED-44;Chapa de Aço;Metalurgia;Norte Logística;Atrasado;USD 169,88;341 unidades;13;R$ 491,67
PED-45;Caixa Papelão;Embalagens;Sul Metais;Entregue;USD 137,35;216 unidades;11;R$ 417,38
PED-46;Caixa Papelão;Embalagens;Amazonas Tech;Entregue;USD 156,73;330 unidades;52;R$ 949,56
PED-47;Chapa de Aço;Metalurgia;Global Shipping;Entregue;USD 165,74;165 unidades;28;R$ 698,33
PED-48;Sensor Prototipo;Eletrônicos;Delta Matérias-Primas;Atrasado;USD 402,48;322 unidades;14;R$ 634,02
PED-49;Polímero Industrial;Química;Delta Matérias-Primas;Entregue;USD 142,07;134 unidades;15;R$ 524,87
PED-50;Circuito Impresso;Eletrônicos;Sul Metais;Atrasado;USD 334,38;371 unidades;11;R$ 442,95
PED-51;Cabo de Cobre;Metalurgia;LogTech Brasil;Entregue;USD 154,92;329 unidades;4;R$ 399,31
PED-52;Caixa Papelão;Embalagens;Sudeste Express;Em trânsito;USD 150,93;337 unidades;9;R$ 545,62
PED-53;Polímero Industrial;Química;Sudeste Express;Entregue;USD 145,85;140 unidades;13;R$ 548,01
PED-54;Sensor Prototipo;Eletrônicos;Nordeste Distribuidora;Entregue;USD 453,08;237 unidades;21;R$ 618,23
PED-55;Cabo de Cobre;Metalurgia;Indústrias Alfa;Entregue;USD 175,64;439 unidades;8;R$ 475,44
PED-56;Motor de Passo;Mecânica;Nordeste Distribuidora;Atrasado;USD 170,48;21 unidades;15;R$ 620,5
PED-57;Caixa Papelão;Embalagens;Sul Metais;Em trânsito;USD 141,8;119 unidades;11;R$ 468,48
PED-58;Polímero Industrial;Química;LogTech Brasil;Atrasado;USD 97,43;251 unidades;4;R$ 324,03
PED-59;Circuito Impresso;Eletrônicos;Bahia Peças;Atrasado;USD 383,85;410 unidades;18;R$ 427,93
PED-60;Circuito Impresso;Eletrônicos;Sul Metais;Em trânsito;USD 362,21;358 unidades;13;R$ 552,04
PED-61;Sensor Prototipo;Eletrônicos;LogTech Brasil;Entregue;USD 414,53;306 unidades;4;R$ 373,22
PED-62;Válvula Hidráulica;Mecânica;Global Shipping;Em trânsito;USD 175,95;127 unidades;27;R$ 750,1
PED-63;Circuito Impresso;Eletrônicos;Indústrias Alfa;Em trânsito;USD 382,7;430 unidades;12;R$ 562,17
PED-64;Motor de Passo;Mecânica;Indústrias Alfa;Atrasado;USD 139,47;40 unidades;18;R$ 520,16
PED-65;Motor de Passo;Mecânica;Indústrias Alfa;Atrasado;USD 126,87;192 unidades;15;R$ 458,12
